,index,Latitude,LatitudeDir,Longitude,LongitudeDir,Altitude,Category
608,3974,,,,,,
609,3975,,,,,,
610,3976,,,,,,
611,3977,,,,,,
612,3978,,,,,,
613,3979,,,,,,
614,3980,,,,,,
615,3981,,,,,,
616,3982,,,,,,
617,3983,,,,,,
618,3984,,,,,,
619,3985,,,,,,
620,3986,,,,,,
621,3987,,,,,,
622,3988,,,,,,
623,3989,,,,,,
624,3990,,,,,,
625,3991,,,,,,
626,3992,,,,,,
627,3993,,,,,,
628,3994,,,,,,
629,3995,,,,,,
630,3996,,,,,,
631,3997,,,,,,
632,3998,,,,,,
633,3999,,,,,,
634,4000,,,,,,
635,4001,,,,,,
636,4002,,,,,,
637,4003,,,,,,
638,4004,,,,,,
639,4005,,,,,,
640,4006,,,,,,
641,4007,,,,,,
642,4008,,,,,,
643,4009,,,,,,
644,4010,,,,,,
645,4011,,,,,,
646,4012,,,,,,
647,4013,,,,,,
648,4014,,,,,,
649,4015,,,,,,
650,4016,,,,,,
651,4017,,,,,,
652,4018,,,,,,
653,4019,,,,,,
654,4020,,,,,,
655,4021,,,,,,
656,4022,,,,,,
657,4023,,,,,,
658,4024,,,,,,
659,4025,,,,,,
660,4026,,,,,,
661,4027,,,,,,
662,4028,,,,,,
663,4029,,,,,,
664,4030,,,,,,
665,4031,,,,,,
666,4032,,,,,,
667,4033,,,,,,
668,4034,,,,,,
669,4035,,,,,,
670,4036,,,,,,
671,4037,,,,,,
672,4038,,,,,,
673,4039,,,,,,
674,4040,,,,,,
675,4041,,,,,,
676,4042,,,,,,
677,4043,,,,,,
678,4044,,,,,,
679,4045,,,,,,
680,4046,,,,,,
681,4047,,,,,,
682,4048,,,,,,
683,4049,,,,,,
684,4050,,,,,,
685,4051,,,,,,
686,4052,,,,,,
687,4053,,,,,,
688,4054,,,,,,
689,4055,,,,,,
690,4056,,,,,,
691,4057,,,,,,
692,4058,,,,,,
693,4059,,,,,,
694,4060,,,,,,
695,4061,,,,,,
696,4062,,,,,,
697,4063,,,,,,
698,4064,,,,,,
699,4065,,,,,,
700,4066,,,,,,
701,4067,,,,,,
702,4068,,,,,,
703,4069,,,,,,
704,4070,,,,,,
705,4071,,,,,,
706,4072,,,,,,
707,4073,,,,,,
708,4074,,,,,,
709,4075,,,,,,
710,4076,,,,,,
711,4077,,,,,,
712,4078,,,,,,
713,4079,,,,,,
714,4080,,,,,,
715,4081,,,,,,
716,4082,,,,,,
717,4083,,,,,,
718,4084,,,,,,
719,4085,,,,,,
720,4086,,,,,,
721,4087,,,,,,
722,4088,,,,,,
723,4089,,,,,,
724,4090,,,,,,
725,4091,,,,,,
726,4092,,,,,,
727,4093,,,,,,
728,4094,,,,,,
729,4095,,,,,,
730,4096,,,,,,
731,4097,,,,,,
732,4098,,,,,,
733,4099,,,,,,
734,4100,,,,,,
735,4101,,,,,,
736,4102,,,,,,
737,4103,,,,,,
738,4104,,,,,,
739,4105,,,,,,
740,4106,,,,,,
741,4107,,,,,,
742,4108,,,,,,
743,4109,,,,,,
744,4110,,,,,,
745,4111,,,,,,
746,4112,,,,,,
747,4113,,,,,,
748,4114,,,,,,
749,4115,,,,,,
750,4116,,,,,,
751,4117,,,,,,
752,4118,,,,,,
753,4119,,,,,,
754,4120,,,,,,
755,4121,,,,,,
756,4122,,,,,,
757,4123,,,,,,
758,4124,,,,,,
759,4125,,,,,,
760,4126,,,,,,
761,4127,,,,,,
762,4128,,,,,,
763,4129,,,,,,
764,4130,,,,,,
765,4131,,,,,,
766,4132,,,,,,
767,4133,,,,,,
768,4134,,,,,,
769,4135,,,,,,
770,4136,,,,,,
771,4137,,,,,,
772,4138,,,,,,
773,4139,,,,,,
774,4140,,,,,,
775,4141,,,,,,
776,4142,,,,,,
777,4143,,,,,,
778,4144,,,,,,
779,4145,,,,,,
780,4146,,,,,,
781,4147,,,,,,
782,4148,,,,,,
783,4149,,,,,,
784,4150,,,,,,
785,4151,,,,,,
786,4152,,,,,,
787,4153,,,,,,
788,4154,,,,,,
789,4155,,,,,,
790,4156,,,,,,
791,4157,,,,,,
792,4158,,,,,,
793,4159,,,,,,
794,4160,,,,,,
795,4161,,,,,,
796,4162,,,,,,
797,4163,,,,,,
798,4164,,,,,,
799,4165,,,,,,
800,4166,,,,,,
801,4167,,,,,,
802,4168,,,,,,
803,4169,,,,,,
804,4170,,,,,,
805,4171,,,,,,
806,4172,,,,,,
807,4173,,,,,,
808,4174,,,,,,
809,4175,,,,,,
810,4176,,,,,,
811,4177,,,,,,
812,4178,,,,,,
813,4179,,,,,,
814,4180,,,,,,
815,4181,,,,,,
816,4182,,,,,,
817,4183,,,,,,
818,4184,,,,,,
819,4185,,,,,,
820,4186,,,,,,
821,4187,,,,,,
822,4188,,,,,,
823,4189,,,,,,
824,4190,,,,,,
825,4191,,,,,,
826,4192,,,,,,
827,4193,,,,,,
828,4194,,,,,,
829,4195,,,,,,
830,4196,,,,,,
831,4197,,,,,,
832,4198,,,,,,
833,4199,,,,,,
834,4200,,,,,,
835,4201,,,,,,
836,4202,,,,,,
837,4203,,,,,,
838,4204,,,,,,
839,4205,,,,,,
840,4206,,,,,,
841,4207,,,,,,
842,4208,,,,,,
843,4209,,,,,,
844,4210,,,,,,
845,4211,,,,,,
846,4212,,,,,,
847,4213,,,,,,
848,4214,,,,,,
849,4215,,,,,,
850,4216,,,,,,
851,4217,,,,,,
852,4218,,,,,,
853,4219,,,,,,
854,4220,,,,,,
855,4221,,,,,,
856,4222,,,,,,
857,4223,,,,,,
858,4224,,,,,,
859,4225,,,,,,
860,4226,,,,,,
861,4227,,,,,,
862,4228,,,,,,
863,4229,,,,,,
864,4230,,,,,,
865,4231,,,,,,
866,4232,,,,,,
867,4233,,,,,,
868,4234,,,,,,
869,4235,,,,,,
870,4236,,,,,,
871,4237,,,,,,
872,4238,,,,,,
873,4239,,,,,,
874,4240,,,,,,
875,4241,,,,,,
876,4242,,,,,,
877,4243,,,,,,
878,4244,,,,,,
879,4245,,,,,,
880,4246,,,,,,
881,4247,,,,,,
882,4248,,,,,,
883,4249,,,,,,
884,4250,,,,,,
885,4251,,,,,,
886,4252,,,,,,
887,4253,,,,,,
888,4254,,,,,,
889,4255,,,,,,
890,4256,,,,,,
891,4257,,,,,,
892,4258,,,,,,
893,4259,,,,,,
894,4260,,,,,,
895,4261,,,,,,
896,4262,,,,,,
897,4263,,,,,,
898,4264,,,,,,
899,4265,,,,,,
900,4266,,,,,,
901,4267,,,,,,
902,4268,,,,,,
903,4269,,,,,,
904,4270,,,,,,
905,4271,,,,,,
906,4272,,,,,,
907,4273,,,,,,
908,4274,,,,,,
909,4275,,,,,,
910,4276,,,,,,
911,4277,,,,,,
912,4278,,,,,,
913,4279,,,,,,
914,4280,,,,,,
915,4281,,,,,,
916,4282,,,,,,
917,4283,,,,,,
918,4284,,,,,,
919,4285,,,,,,
920,4286,,,,,,
921,4287,,,,,,
922,4288,,,,,,
923,4289,,,,,,
924,4290,,,,,,
925,4291,,,,,,
926,4292,,,,,,
927,4293,,,,,,
928,4294,,,,,,
929,4295,,,,,,
930,4296,,,,,,
931,4297,,,,,,
932,4298,,,,,,
933,4299,,,,,,
934,4300,,,,,,
935,4301,,,,,,
936,4302,,,,,,
937,4303,,,,,,
938,4304,,,,,,
939,4305,,,,,,
940,4306,,,,,,
941,4307,,,,,,
942,4308,,,,,,
943,4309,,,,,,
944,4310,,,,,,
945,4311,,,,,,
946,4312,,,,,,
947,4313,,,,,,
948,4314,,,,,,
949,4315,,,,,,
950,4316,,,,,,
951,4317,,,,,,
952,4318,,,,,,
953,4319,,,,,,
954,4320,,,,,,
955,4321,,,,,,
956,4322,,,,,,
957,4323,,,,,,
958,4324,,,,,,
959,4325,,,,,,
960,4326,,,,,,
961,4327,,,,,,
962,4328,,,,,,
963,4329,,,,,,
964,4330,,,,,,
965,4331,,,,,,
966,4332,,,,,,
967,4333,,,,,,
968,4334,,,,,,
969,4335,,,,,,
970,4336,,,,,,
971,4337,,,,,,
972,4338,,,,,,
973,4339,,,,,,
974,4340,,,,,,
975,4341,,,,,,
976,4342,,,,,,
977,4343,,,,,,
978,4344,,,,,,
979,4345,,,,,,
980,4346,,,,,,
981,4347,,,,,,
982,4348,,,,,,
983,4349,,,,,,
984,4350,,,,,,
985,4351,,,,,,
986,4352,,,,,,
987,4353,,,,,,
988,4354,,,,,,
989,4355,,,,,,
990,4356,,,,,,
991,4357,,,,,,
992,4358,,,,,,
993,4359,,,,,,
994,4360,,,,,,
995,4361,,,,,,
996,4362,,,,,,
997,4363,,,,,,
998,4364,,,,,,
999,4365,,,,,,
1000,4366,,,,,,
1001,4367,,,,,,
1002,4368,,,,,,
1003,4369,,,,,,
1004,4370,,,,,,
1005,4371,,,,,,
1006,4372,,,,,,
1007,4373,,,,,,
1008,4374,,,,,,
1009,4375,,,,,,
1010,4376,,,,,,
1011,4377,,,,,,
1012,4378,,,,,,
1013,4379,,,,,,
1014,4380,,,,,,
1015,4381,,,,,,
1016,4382,,,,,,
1017,4383,,,,,,
1018,4384,,,,,,
1019,4385,,,,,,
1020,4386,,,,,,
1021,4387,,,,,,
1022,4388,,,,,,
1023,4389,,,,,,
1024,4390,,,,,,
1025,4391,,,,,,
1026,4392,,,,,,
1027,4393,,,,,,
1028,4394,,,,,,
1029,4395,,,,,,
1030,4396,,,,,,
1031,4397,,,,,,
1032,4398,,,,,,
1033,4399,,,,,,
1034,4400,,,,,,
1035,4401,,,,,,
1036,4402,,,,,,
1037,4403,,,,,,
1038,4404,,,,,,
1039,4405,,,,,,
1040,4406,,,,,,
1041,4407,,,,,,
1042,4408,,,,,,
1043,4409,,,,,,
1044,4410,,,,,,
1045,4411,,,,,,
1046,4412,,,,,,
1047,4413,,,,,,
1048,4414,,,,,,
1049,4415,,,,,,
1050,4416,,,,,,
1051,4417,,,,,,
1052,4418,,,,,,
1053,4419,,,,,,
1054,4420,,,,,,
1055,4421,,,,,,
1056,4422,,,,,,
1057,4423,,,,,,
1058,4424,,,,,,
1059,4425,,,,,,
1060,4426,,,,,,
1061,4427,,,,,,
1062,4428,,,,,,
1063,4429,,,,,,
1064,4430,,,,,,
1065,4431,,,,,,
1066,4432,,,,,,
1067,4433,,,,,,
1068,4434,,,,,,
1069,4435,,,,,,
1070,4436,,,,,,
1071,4437,,,,,,
1072,4438,,,,,,
1073,4439,,,,,,
1074,4440,,,,,,
1075,4441,,,,,,
1076,4442,,,,,,
1077,4443,,,,,,
1078,4444,,,,,,
1079,4445,,,,,,
1080,4446,,,,,,
1081,4447,,,,,,
